COGcat	b14_02	b14_21
C	16967891.78	6444461.57
D	253891.98	63853.4
E	4259576.95	2221034.31
F	2651380.98	1374778.7
G	13845508.99	3819537.3
H	935510.35	191493.37
I	1132942.64	473650.12
J	13157090.51	7776707.87
K	1883038.45	593637
L	271341.94	74252.48
M	2560512.42	307942.06
N	673031.15	967988.3
O	3444799.76	1484577.48
P	507877.56	280543.65
Q	133930.01	66118.23
R	839800.39	431951.31
S	283887.21	23408.48
T	1333184.37	512810.33
U	250336.2	64337.02
V	105936.2	NA
X	88563.6	2131.41
Z	113946	NA
