KEGGnum	b14_02	b14_21
K00005	NA	12029.1
K00008	76401.7	84340.4
K00012	8050.77	NA
K00013	4894.14	4776.7
K00024	135865.7	158622
K00027	48511.9	33886.1
K00029	124746	4277.57
K00031	82063.38	NA
K00040	57965.1	44077.5
K00048	176466	5903.12
K00052	35887.6	NA
K00053	195083.4	7791.81
K00059	40865.4	60359.5
K00067	30004.1	NA
K00088	1051744.89	425648.23
K00128	8803.21	NA
K00133	131089.1	45403.1
K00134	672738.14	13717.48
K00175	19501.3	1454.87
K00208	82211.7	NA
K00239	100951.3	299571.8
K00240	49573.3	129793.8
K00243	20583.4	4481.08
K00248	45416.5	NA
K00262	1728618.01	1098394.07
K00266	54265.13	60515.86
K00290	136562	5267.46
K00335	12714.2	7318.08
K00346	22724.71	148799.33
K00351	168420.1	129811.7
K00528	2038.67	NA
K00602	17267.5	34764.42
K00609	38907.6	22461.5
K00615	4232.42	3825.31
K00616	67194.9	32772.48
K00625	59651.6	169370.9
K00626	44726.6	3183.53
K00645	NA	2930.79
K00652	40624	NA
K00656	393356.91	691564.54
K00677	15416.9	NA
K00688	221423.6	47314.42
K00705	11595	NA
K00761	23819.9	5230.17
K00767	40972.4	9644.47
K00773	27258.4	NA
K00789	60986.6	17567.4
K00826	134257.6	31128.3
K00831	77044.2	64216.7
K00848	8248.63	7382.93
K00849	NA	2231.22
K00850	429046.7	69254
K00854	4370.29	NA
K00874	67909.5	9945.22
K00878	15614.4	NA
K00895	131792	14428.6
K00925	137864.2	114406.85
K00927	284467.64	113429.88
K00939	352917	34341.75
K00940	NA	3577.18
K00948	NA	5817.52
K00962	157864.2	48732
K00973	185676	84830.4
K00975	23961.8	19425.1
K00979	76977.1	NA
K01006	1805076.1	846514.36
K01193	6858.12	NA
K01201	NA	8943.13
K01222	10120.3	30335.9
K01270	81545.1	11624.8
K01277	15007.9	NA
K01338	22474.5	NA
K01361	68029.7	NA
K01428	67520.5	94498.8
K01462	13197.7	7204.87
K01465	48604.8	NA
K01478	6768.8	NA
K01491	NA	15859.1
K01537	7400.54	NA
K01571	372616	87827.1
K01596	NA	7985.55
K01604	44304.3	56046.6
K01610	2089052.1	896771.4
K01624	3128550.1	383571.43
K01625	5985.28	10903.7
K01639	NA	7177.79
K01647	6330.89	NA
K01652	7003.93	20609.13
K01653	12221.6	3774.43
K01661	54544.1	NA
K01662	6276.95	NA
K01677	10210.5	NA
K01681	47750.2	12361.3
K01689	56054.4	8633.03
K01703	49137.2	NA
K01710	161739.78	48871.9
K01711	158086	60052.8
K01714	NA	16244.5
K01715	117294.7	13789.9
K01740	158528.3	78903.56
K01755	5478.95	NA
K01756	6424.39	3320.84
K01783	8604.56	NA
K01784	132044.22	18245.86
K01785	15968.5	NA
K01790	20718.4	NA
K01803	249234.97	125179.4
K01804	38668.72	52635.6
K01805	7470.31	NA
K01808	9805.9	NA
K01810	239260.5	78849.59
K01812	80845.3	31135.1
K01818	95090.4	390639.8
K01835	5214.89	20250.84
K01847	18371.1	17378.5
K01848	455882	39531.5
K01854	14924.65	NA
K01866	36092	NA
K01867	4278.22	9862.42
