KEGGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
K23879	NA	3452.45	NA	4421.12	22866.7
K23902	NA	NA	NA	NA	16352.4
K24057	NA	NA	NA	NA	6798.03
K24205	NA	8752.87	NA	NA	13982.6
K24220	217562.6	282683.8	137084	137563.7	105431.6
K24332	7170.56	10399.9	12641.3	6942.07	7405.64
K24524	NA	NA	NA	NA	7744.89
K24665	25225.6	121892	60135.6	239404	24699.1
K24793	358939	172888	284284	243980	323548
K25447	12587	12246.7	14319.7	23678.6	10104
K25567	274572	888757	1002100	750768	1576750
K25717	21634.9	93286.7	89638.6	882341	25160
K25722	6609.02	31763.1	24984	9752.66	47019.8
K25727	NA	8163.57	16078.8	83428.3	80548.6
K25747	638237	987102	705751	940787	562017
K26099	7097.06	17220.4	15604.3	6198.43	39164.9
K27382	96718.3	117775	107584	82826.9	50507.6
