COGcat	b14_10	b14_20
A	33845.9	25509.7
B	1794240	1446212.63
C	250352.82	342321.12
E	13024265.7	13975338.69
F	39322.62	19000.25
G	2765169.54	3190712.94
H	3330.4	10013.1
I	958139.1	519761.55
J	132858.16	26391.2
M	2724.91	3039.69
O	947291.39	1514990.62
P	867732.86	933748.11
R	990967.54	1072175.55
S	6251382.7	14073455.8
T	253850.38	260246.53
U	331018.57	555734.67
V	2225551	1877980.53
W	1541389.8	1506911.5
Z	416162.26	394262.3
