COGcat	b14_27
B	2444154
C	13141719.86
D	280223.2
E	17339072.44
F	1714238.89
G	9491533.8
H	545012.6
I	1178703.85
J	10728350.42
K	1382527.12
L	41124.37
M	406898.54
N	1416985.78
O	3591640.04
P	1624343.83
Q	153424.2
R	1665197.19
S	4785660.29
T	1413194.18
U	718643.13
V	2247613.32
W	1428089.5
X	32621.8
Z	551364.66
